Фаза,Приоритет,ID,Блок,Шаг,Действие,Ожидание,Обязательно,Windows,macOS,Статус,Баг #,Комментарий
3 Функции,P0,3.6,Уведомления,Глобальный,Настройки → выкл уведомления,Баннер в Отслеживаемое,Да,,,Не начато,,
3 Функции,P0,3.7,Уведомления,Per-product,Колокольчик на карточке,Bell/BellOff + badge,Да,,,Не начато,,
3 Функции,P1,3.8,Уведомления,Browser push,Симуляция падения цены,Push с названием и ценой,Нет,,,Не начато,,
3 Функции,P2,3.9,Уведомления,Пороги,min ₽ и min %,Ниже порога — нет алерта,Нет,,,Не начато,,
3 Функции,P2,3.10,Уведомления,Telegram,Chat ID + toggle,Сообщение в Telegram,Нет,,,Не начато,,Опционально
3 Функции,P0,3.11,Сравнение,Добавить,С карточки WB,В списке сравнения,Да,,,Не начато,,
3 Функции,P0,3.12,Сравнение,Кросс-поиск,Найти на Ozon/YM,Офферы с ценами,Да,,,Не начато,,
3 Функции,P1,3.13,Сравнение,Refresh,Обновить цены,Актуальные цены,Нет,,,Не начато,,
3 Функции,P1,3.14,Сравнение,Лимит,6 товаров в сравнении,Upsell / блок,Нет,,,Не начато,,
3 Функции,P0,3.16,AI,Анализ отзывов,WB товар с отзывами,"Вердикт, pros/cons",Да,,,Не начато,,
3 Функции,P1,3.17,AI,Кэш local,Повторный анализ,"fromCache, быстро",Нет,,,Не начато,,
3 Функции,P1,3.19,AI,Квота free,6-й запрос за сутки,Сообщение о лимите,Нет,,,Не начато,,
3 Функции,P1,3.20,AI,Fallback,Блок *.supabase.co в DevTools,Локальный анализ,Нет,,,Не начато,,
3 Функции,P0,3.21,AI,Полный анализ free,Free user → кнопка,"Premium upsell, disabled",Да,,,Не начато,,
3 Функции,P1,3.22,AI,Полный анализ Premium,Demo key PREMIUM-DEMO-…,"Quality score, аналоги",Нет,,,Не начато,,
3 Функции,P1,3.24,Аккаунт,Email,Регистрация / вход,Сессия в UI,Нет,,,Не начато,,Если Supabase настроен
3 Функции,P1,3.25,Аккаунт,Google,Войти через Google,Email в UI,Нет,,,Не начато,,
3 Функции,P1,3.26,Sync,Кросс-устройство,Win: 3 товара → Mac: тот же аккаунт,Списки совпадают,Нет,,,Не начато,,Win + Mac
3 Функции,P1,3.29,Premium,Demo key,Активировать demo ключ,tier=premium,Нет,,,Не начато,,
3 Функции,P1,3.30,Premium,Лимиты,>5 tracked + AI,Без блокировки,Нет,,,Не начато,,
3 Функции,P2,3.33,Настройки,AI provider,Grok ↔ GPT,Сохраняется,Нет,,,Не начато,,
3 Функции,P2,3.34,Настройки,Тема,Light / Dark,Применяется,Нет,,,Не начато,,
3 Функции,P1,3.35,Настройки,Test AI,Проверка подключения,«Подключение успешно»,Нет,,,Не начато,,
5 Регрессии,P1,5.1,Edge,Reload ext,Reload на chrome://extensions,Данные сохранены,Нет,,,Не начато,,
5 Регрессии,P1,5.4,Edge,Не-product,google.com → popup,Без ошибок,Нет,,,Не начато,,
5 Регрессии,P1,5.5,Edge,Мало отзывов,Товар без отзывов,«Недостаточно отзывов»,Нет,,,Не начато,,
5 Регрессии,P1,5.8,Edge,Offline AI,Блок supabase.co,Локальный fallback,Нет,,,Не начато,,
5 Регрессии,P1,5.9,Edge,Clear data,Удалить данные расширения,Чистое состояние,Нет,,,Не начато,,
5 Регрессии,P0,5.10,Edge,Перезапуск Chrome,Закрыть и открыть браузер,"SW alive, данные на месте",Да,,,Не начато,,
